label;genre
Raphael Hillyer;[]
Tito Arévalo;[]
Tom Parker;[]
Al Goodhart;[]
John Benson Brooks;[]
Adolph Jacobs;[]
Duane Jarvis;[]
Irving Aaronson;['dixieland']
Fred Carter Jr.;[]
Jim Younger;[]
James Yannatos;[]
John Gary;['adult standards', 'easy listening', 'lounge']
Bob Rafkin;[]
Chris Stamp;[]
Michael Oliver;[]
Nikos Papazoglou;['classic greek pop', 'entehno', 'greek pop', 'laiko', 'rebetiko']
Ernst Mach;[]
Alan Shulman;[]
Josef Berg;[]
Axel Gade;['danish classical']
Gilda Mignonette;['canzone napoletana']
Josef Herrmann;[]
Oz Bach;[]
Andrea Parodi;['italian folk', 'musica sarda']
George Butler;[]
Carlos Guichandut;[]
Isidro López;[]
Manuel Saumell;[]
Wendy Rene;['memphis soul', 'southern soul']
Elizabeth Connell;['classical soprano']
Guiomar Novaes;['brazilian classical piano', 'historic piano performance']
Kelly Harrell;['appalachian folk', 'vintage country folk']
Géza Frid;['hungarian classical piano']
Elisabeth Höngen;['classical mezzo-soprano']
Daniel Deffayet;['classical saxophone']
Proinsias Ó Maonaigh;[]
Vivian Della Chiesa;[]
Doc Williams;[]
Ivan Lukačić;[]
Tim Davis;[]
Curley Money;[]
Lex van Delden;['dutch contemporary classical']
Tarateño Rojas;[]
Dick Wilson;[]
Konstantin Mostras;[]
Tom Pomposello;[]
Sun-sun;['alternative dance', 'australian dance', 'australian electropop', 'dance-punk', 'electropop', 'indietronica', 'neo-synthpop', 'new rave']
Lil' Chris;['chicago rap']
Charles O'Neill;[]
Herbie Jones;[]
Ted Buckner;['jazz trumpet']
Monette Moore;[]
Civilla D. Martin;[]
Murray Dickie;[]
Helge Bonnén;[]
Mino Reitano;['canzone napoletana', 'classic italian folk pop', 'classic italian pop', 'musica calabrese']
Charles Greenlee;[]
Philip Gbeho;[]
Nicolas Gistou;[]
Amparo Ochoa;['cantautor', 'mexican son', 'musica yucateca', 'nueva cancion', 'trova']
John Collins;[]
Åse Wentzel;[]
Frances James;[]
Karel Burian;[]
Leo Dryden;[]
Kenneth Peacock;[]
Rudy Lyle;['banjo']
Jack Stapp;[]
Elton Hayes;[]
Felicie Huni-Mihacsek;[]
Vincent Scotto;[]
Chick Willis;[]
Val Valentin;['banda', 'corrido', 'norteno', 'nuevo regional mexicano', 'regional mexican']
Guglielmo Zuelli;[]
Marianna Bottini;[]
Tiny Timbrell;[]
Melchior Borchgrevinck;[]
Gil Askey;[]
Hank Penny;['cowboy western', 'western swing']
Charley Patton;['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'pre-war blues', 'traditional blues', 'traditional folk']
Domenico Viglione Borghese;[]
Sergej Larin;['classical tenor']
Juan Carlos Paz;['latin classical']
Franz Xaver Chwatal;[]
Fred Mendelsohn;[]
Ernst Fischer;[]
Lloyd Garrett;[]
Henri Miro;[]
Clarence Wijewardena;['classic sinhala pop', 'sinhala pop']
Youra Guller;['historic piano performance']
James Stevens;[]
Derek Simpson;[]
Guy Warrack;[]
Johann Stadler;[]
Carl Venth;[]
Marta Pérez;[]
Georg Liebling;[]
Leslie Rands;[]
Marius Müller;['classic norwegian pop', 'norwegian rock']
Gretl Schörg;[]
Alexandra;['bachata', 'bachata dominicana', 'latin', 'tropical']
Sonny Clay;[]
Hermann Riedel;[]
Matt McGinn;['scottish folk']
Carolina Cotton;['cowboy western', 'yodeling']
Ferdinand Frantz;['classical bass']
Pinky Tomlin;[]
Georg Rhau;['german renaissance']
Milton Cardona;['afro-cuban traditional']
Gino Vanelli;['italian baritone']
Yolanda Brown;['jazz saxophone']
Don Kirkpatrick;[]
Daniel Reed;[]
Seán Ó Riada;['irish classical', 'irish folk', 'jig and reel']
Aram Tigran;['kurdish folk', 'kurdish pop']
Armando;['bolero', 'cancion melodica', 'latin', 'latin pop', 'musica yucateca', 'velha guarda']
Edgar Battle;[]
Solange Michel;[]
Nick Noble;[]
Roland Stone;[]
Richard Farrell;[]
Leonard Ware;[]
Frankie Newton;[]
Sá Nogueira;[]
Andrew McMillan;[]
Edwin Carr;['new zealand classical']
John Witmer;[]
Jack Singer;[]
John Fuller;[]
Michael Donaghy;[]
Dwight L. Armstrong;[]
E. M. Subramaniam;[]
Natalie Sleeth;[]
Georg Österreich;['german baroque']
Al Singer;['american folk revival', 'traditional folk']
Benny Sims;[]
William Flanagan;[]
Wally Tax;['nederpop']
Duilio Del Prete;["canzone d'autore"]
Albert Raisner;[]
Jane Green;['vintage jazz']
Ricky Lawson;[]
Felix Dreyschock;[]
David Franklin;[]
Will Schaefer;[]
Mackey Feary;[]
Osiris Rodríguez Castillos;[]
Antonio Rodríguez Ferrer;[]
Adelina Stehle;[]
Bert Patrick;[]
Linda McCartney;['classic uk pop']
Giovanna Daffini;[]
Sidney Harth;[]
Larry Stock;[]
Irene Daye;[]
Mohammad Mamle;[]
James Melton;[]
Ankaralı Namık;['arabesk', 'oyun havasi']
Joseph Riepel;[]
Clyde Otis;[]
Manuel Ortiz Guerrero;[]
Lucie Eyenga;[]
Marguerite Monnot;['broadway']
Irving Bibo;[]
Carlos Duarte;[]
Toivo Kärki;[]
Soo Bee Lee;[]
Einar Andersson;[]
Terence MacDonagh;['classical oboe']
Dave Ball;[]
Will Glahé;['vintage schlager']
June Tyson;[]
Ebenezer Beesley;[]
Stephen Bruton;['austin americana']
Hugh Allen;[]
Thomas Hemsley;['classical baritone']
Adam Aston;[]
Caroline Schytte Jensen;[]
Stephen Dickson;[]
Karl Hoschna;[]
Teddy Brannon;[]
Lennie Bush;[]
George Barrow;[]
Ernesto De Curtis;['canzone napoletana']
Romain-Octave Pelletier I;[]
Cie Frazier;[]
Jeremy Lloyd;[]
Charlie Munro;[]
Eddie Sauter;[]
Gurcharan Singh Tohra;[]
Charles Agnew;[]
Gustaf Nordqvist;[]
Kaiser Marshall;[]
Beatrice Harrison;[]
Gene Eugene;['canadian ccm', 'deep christian rock']
Dirtsman;['old school dancehall']
Jon Lucien;['jazz funk']
Tatiana Menotti;[]
Aage Haugland;[]
Joe Robichaux;[]
Thomas Burke;[]
John Jackson;[]
Alfred Næss;[]
Carl Gardner;[]
Lothar Koch;['classical oboe']
Charlotte Brent;[]
George Whiting;[]
Jiří Bárta;[]
Antonio María Romeu;[]
José Messias;[]
Peter Anders;['classical tenor']
Theodore Bikel;['klezmer', 'russian folk']
Jack Hylton;['big band', 'british dance band', 'vintage jazz']
Osvaldo Fresedo;['orquesta tipica', 'tango', 'vintage tango']
Buck Griffin;['rockabilly']
Helen Armstrong;[]
Earl Coleman;[]
Richard Aldrich;[]
Lamberto Landi;[]
Oscar Natzka;[]
Joseph Böhm;[]
Albert Cahen;[]
Nellie Wallace;['music hall']
Amanda Thane;[]
Bobby Donaldson;[]
O. P. Vyas;[]
Ammouri Mbarek;[]
John Baker;['acousmatic', 'hauntology', 'theme']
Antoni Stolpe;['polish classical']
Laurie Beechman;[]
Walter Donaldson;['tin pan alley']
Assi Rahbani;[]
Hans Hopf;['classical tenor']
Paul de Maleingreau;[]
Sándor Kónya;['classical tenor']
John Hawkins;['traditional soul']
Edward Dearle;[]
Macedonio Alcalá;[]
Giovanni Antonio Giay;[]
Lu Watters;['ragtime']
Odoardo Spadaro;['vintage italian pop']
Birgit Kronström;['sotalaulut']
Hugo Hasslo;[]
Ryan Dunn;[]
Péter Máté;['classic hungarian pop']
Maladi;[]
Risë Stevens;['classical mezzo-soprano']
Manos Loïzos;['bouzouki', 'laiko', 'rebetiko']
Nicolás Ruiz Espadero;[]
Stanislav Neuhaus;[]
Mel Taylor;['blues', 'electric blues', 'modern blues']
Rosita Fernandez;[]
Larry Dale;[]
Ray Leatherwood;[]
Billy Curtis;[]
Phil Medley;[]
Jimmy Crawford;[]
Henry B. Vincent;[]
Stephen Clapp;[]
John S. Wilson;[]
Andrea Zani;['baroque', 'italian baroque']
Tony Poncet;[]
Alan Branscombe;[]
John Arpin;['canadian classical piano']
Jenny Hill;[]
Mario Schiano;['jazz saxophone']
Jesse Miller;[]
Johann Baptist Singenberger;[]
Fred Rauch;[]
Joe Medwick;['deep southern soul']
Marty Gold;['moog', 'space age pop']
Sid Bernstein;[]
William Reed;[]
Giuseppe Anselmi;['italian tenor', 'vintage classical singing']
Susan Allen;['latin christian']
Georg Hellmesberger Sr.;[]
Ernest Seitz;[]
Brendan O'Dowda;['irish ballad']
Paddy Canny;['irish fiddle', 'jig and reel']
Kreeta Haapasalo;[]
Ferdinand Weiss;['romanian classical piano']
Hugo Staehle;['german romanticism']
Carl Friedemann;[]
Billy Bean;['jazz guitar']
Shorty Sherock;[]
Minor Hall;[]
Cemil Bey;['turkish classical']
Zeke Clements;['cowboy western']
Carlo Tagliabue;['italian baritone']
Clarence Whitehill;['vintage classical singing']
Alain Vanzo;['classical tenor']
Richard Eilenberg;['german romanticism']
Mark Warnow;[]
Mafalda Salvatini;['italian soprano']
Petronio Franceschini;['baroque']
Hilo Hattie;['vintage hawaiian']
Alan Rowlands;['british classical piano']
George James;[]
Komitas;['caucasian classical', 'oriental classical']
Maria Hester Park;[]
Mike Waterson;['traditional british folk', 'yorkshire folk']
William McGibbon;[]
Demetrio Ortiz;[]
Al Alberts;['australian pop', 'australian singer-songwriter', 'folk-pop', 'indie anthem-folk']
Bob Greenberg;[]
Hans Lange;[]
Gaetano Capocci;[]
Alam Lohar;['pakistani folk', 'sufi']
Picaflor de los Andes;[]
Tommie Connor;[]
Janice Harsanyi;[]
Ralph Mooney;['oklahoma country']
Víctor Yturbe;['bolero', 'bolero mexicano']
Ruggiero Ricci;['violin']
Monguito;['latin jazz', 'salsa international']
Dumisani Maraire;['mbira', 'zim urban groove']
Harry Babasin;['jazz double bass']
Elden C. Bailey;[]
Göta Ljungberg;[]
José Barros;[]
Emilio Pericoli;['swing italiano']
Lazy Bill Lucas;[]
Russell Jacquet;[]
Jack Nimitz;[]
Curtis Gordon;['rockabilly', 'traditional rockabilly']
Tina Robin;[]
Nazmi Yükselen;[]
Harry Arnold;[]
Janko Ravnik;[]
Luis Alberto del Paraná;['arpa paraguaya', 'folklore paraguayo', 'polca paraguaya']
Martin Dillon;[]
Øivin Fjeldstad;[]
Anne Collins;[]
Milly;['reggaeton flow', 'trap latino']
Flemming Jørgensen;['classic danish pop', 'dansktop']
Raymond Aron;[]
Paolo Silveri;['italian baritone']
John Valentine;[]
Solomon King;[]
Stella Brooks;[]
Joe Sanders;[]
Jack Rieley;[]
Kathleen Howard;[]
Henryk Kowalski;[]
Al Morgan;[]
Clarence Myerscough;[]
Eli Mohar;[]
Bill Berry;[]
Josef Gostic;[]
Mal Hallett;[]
Phil Urso;[]
Rosa Balistreri;['folk siciliana', 'italian folk']
Lauro Ayestarán;[]
Kennedy Jones;['electronic trap']
Emil Bohnke;[]
Elías M. Soto;[]
Graziella Pareto;['vintage classical singing']
Butch Moore;['classic eurovision']
Elfriede Trötschel;[]
Camillo Cortellini;['madrigal']
William Chatterton Dix;[]
Jimmy Oliver;[]
Wilfred Brown;[]
Surjit Bindrakhia;['bhangra', 'classic bhangra', 'desi hip hop', 'desi pop']
Joe Haymes;[]
William Pitt;[]
Jerry Adler;[]
Morton Downey;[]
Melanie Kurt;[]
Kurt Redel;[]
Mighty Striker;[]
Dimitri Fampas;['greek guitar']
Rena Dor;[]
Edwin Shirley;[]
Graham Collier;['british jazz']
Hetty Blok;['dutch cabaret', 'muziek voor kinderen', 'vintage dutch pop']
Rusty Wier;['texas country']
Johnny Otis;['jazz blues', 'jump blues', 'rhythm and blues', 'rock-and-roll']
Liliane Berton;[]
Tore Foss;[]
Gerd Nienstedt;[]
Elisabeth Schwarzkopf;['classical performance', 'classical soprano', 'opera']
Blanche Calloway;[]
Joseph Cooper;[]
Salem Allan;['middle eastern traditional']
Isaac Guillory;[]
Josephine Lang;['german romanticism', 'late romantic era']
Jon Vickers;['classical tenor', 'opera']
Francesco Florimo;[]
Rodion Azarkhin;['contrabass']
Marion Montgomery;[]
Ben Tucker;[]
Thomas L. Thomas;[]
Keith Hudson;['dub', 'reggae', 'roots reggae']
Martin Krause;[]
Zara Nelsova;['cello', 'classical cello', 'historic classical performance']
Allan Gray;[]
Arthur Coquard;['french opera']
Clifford Thornton;['deep free jazz', 'free jazz']
Richard Egües;['orquesta tropical']
Kamukara Purushothaman;[]
