label;genre;cause of death
Rod Taylor;['dub', 'old school dancehall', 'roots reggae'];Myocardial infarction
Roger King;['indie emo'];Stroke
Roger Miller;['country', 'country rock', 'folk', 'nashville sound', 'oklahoma country', 'traditional folk'];Lung cancer
Ronnie Burns;['beatlesque'];Cancer
Rosemary Clooney;['adult standards', 'big band', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz'];Lung cancer
Rupert Brooke;['poetry'];Sepsis
Ruth White;['moog'];Cancer
Rhoda Williams;['disney'];Cardiac arrest
Richard Dawson;['chamber psych', 'experimental folk', 'experimental psych', 'freak folk', 'newcastle indie'];Esophageal cancer
Richard Dimbleby;['oratory'];Testicular cancer
Richard Greene;['bluegrass fiddle'];Cardiac arrest
Richard Tucker;['classical tenor', 'opera'];Myocardial infarction
Rita Hayworth;['vintage hollywood'];Alzheimer's disease
Rajesh Khanna;['classic bollywood'];Cancer
Scatman Crothers;['movie tunes'];['Lung cancer', 'Pneumonia']
Sergei Rachmaninoff;['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical'];Melanoma
Shirley Temple;['vintage hollywood'];Chronic obstructive pulmonary disease
Stan Freberg;['comic', 'parody'];Pneumonia
Stanley Clarke;['electric bass', 'jazz funk', 'jazz fusion'];Colorectal cancer
Stella Zázvorková;['mluvene slovo'];Myocardial infarction
Sterling Holloway;['movie tunes'];Cardiac arrest
Sammy Davis Jr.;['adult standards', 'easy listening', 'lounge', 'vocal jazz'];Esophageal cancer
Stuart Sutcliffe;['beatlesque'];Cerebral hemorrhage
Thomas Koppel;['danish contemporary classical'];Cardiac arrest
Thurl Ravenscroft;['movie tunes'];Prostate cancer
Tommy Handley;['music hall'];Cerebral hemorrhage
Tony Curtis;['deep ragga', 'lovers rock', 'old school dancehall'];Cardiac arrest
Tony Hancock;['british comedy'];Suicide
Tony Jay;['disney', 'movie tunes'];Endoscopy
Tyrone Power;['guidance'];Myocardial infarction
Verna Felton;['disney', 'movie tunes'];Stroke
Victoria Shaw;['country dawn', 'deep contemporary country'];Chronic obstructive pulmonary disease
Wally Cox;['deep northern soul'];Myocardial infarction
Walt Disney;['movie tunes'];Lung cancer
Walter Brennan;['traditional country'];Chronic obstructive pulmonary disease
Walter Cronkite;['oratory'];Cerebrovascular disease
Walter Huston;['vintage swing'];Aortic aneurysm
Warren Casey;['broadway'];AIDS
Whitney Houston;['dance pop', 'pop', 'urban contemporary'];Drowning
William Miller;['ballet class'];miller.htm
Wu Han;['taiwan classical performance'];Suicide
Xavier Montsalvatge;['early modern classical'];Chronic obstructive pulmonary disease
Zig Ziglar;['guidance', 'motivation'];Pneumonia
