label;genre
Andreas Weise;['Big band', 'Traditional pop music', 'Jazz']
Andreas Öberg;['Pop music', 'Soul music', 'Jazz']
Andreea Bălan;['Pop music', 'Dance music']
Andrei Diev;Classical music
Andrei Găluț;['Heavy metal music', 'Rock music', 'Metalcore']
Andrei Ivanovitch;Classical music
Andrei Knyazev (musician);['Punk rock', 'Hardcore punk', 'Horror punk', 'Folk punk', 'Art punk']
Andrei Krylov;Art music
Andrej Aćin;['Ambient music', 'Gothic rock', 'Electronic music']
Andrej Hoteev;Classical music
Andres Levin;['Pop music', 'Rock music', 'Rhythm and blues', 'Latin alternative']
Andrew Jr. Boy Jones;['Electric blues', 'Texas blues', 'Soul blues']
Andrew Adkins;['Folk music', 'Rock music', 'Indie rock', 'Alternative country', 'American folk music', 'Americana']
Andrew Archer (producer);Progressive house
Andrew Ashong;['Soul music', 'Contemporary R&B']
Andrew Bain (singer);Crossover music
Andrew Belle;Singer-Songwriter
Andrew Bird;['Indie rock', 'Folk rock', 'Baroque pop', 'Indie folk']
Andrew Bird's Bowl of Fire;['Indie rock', 'Alternative rock', 'Folk rock', 'Baroque pop', 'Indie folk', 'Dixieland']
Andrew Bodnar;['New wave music', 'Rock music', 'Rhythm and blues', 'Soul music', 'Pub rock (United Kingdom)']
Andrew Borger;['Blues', 'Country music', 'Folk music', 'Punk rock', 'Folk rock', 'Avant-garde jazz', 'Jazz', 'Experimental music']
Andrew Brel;['New-age music', 'Meditation', 'Wellness (alternative medicine)']
Andrew Canton;['Pop music', 'Rhythm and blues', 'Hip hop music']
Andrew Carlton;['Country music', 'Contemporary Christian music']
None;Rock music
Andrew Champion;['Punk rock', 'Alternative rock']
Andrew Cheshire;Jazz
Andrew Choi;['Rhythm and blues', 'K-pop', 'Dance music']
Andrew Chou;['Hip hop music', 'Electronic music']
Andrew Combs (musician);['Country music', 'Folk music']
Andrew Craighan;['Death metal', 'Doom metal', 'Gothic metal']
Andrew Crayford;['Alternative rock', 'Folk rock']
Andrew Cyrille;['Avant-garde jazz', 'Post-bop', 'Jazz']
Andrew Dawson (record producer);['Pop music', 'Rock music', 'Indie rock', 'Indie pop', 'Hip hop']
Andrew De Silva;Rhythm and blues
Andrew Diamond;Reggae
Andrew Dost;Indie pop
Andrew Duffield (musician);['Alternative rock', 'Electronic music']
Andrew Durant (musician);Country rock
Andrew E.;['Pinoy hip hop', 'Pop-rap']
Andrew Edge;['Pop music', 'Synthpop', 'Dance music']
Andrew Eldritch;['Hard rock', 'Gothic rock', 'Dark wave', 'Post-punk']
Andrew F;Pop rock
Andrew Farriss;['New wave music', 'Rock music']
Andrew Findon;['Folk music', 'Pop music', 'Big band', 'Musical theatre', 'Classical music', 'Dance music']
Andrew Forsman;['Progressive rock', 'Math rock', 'Post-hardcore', 'Mathcore']
Andrew Freeman (musician);['Heavy metal music', 'Punk rock']
Andrew Fromm;['Country music', 'Pop music', 'Rock music', 'Rhythm and blues', 'Dance music', 'Theatre']
Andrew Garcia;['Pop music', 'Contemporary R&B']
Andrew Garton;['Folk music', 'Ambient music', 'Instrumental', 'Psychedelic music']
Andrew Gold;['Pop music', 'Soft rock', 'Pop rock']
Andrew Goldstein (musician);['Pop music', 'Alternative rock', 'Pop punk', 'Dance-pop', 'Pop rock']
Andrew Greer;['Folk music', 'Folk rock', 'Americana (music)']
Andrew Hansen;Musical theatre
Andrew Harris (musician);['Black metal', 'Death metal']
Andrew Hewitt;Film score
Andrew Hill;['Bebop', 'Hard bop', 'Avant-garde jazz', 'Jazz']
Andrew Howie;['Alternative rock', 'Experimental rock', 'Electronic music', 'Singer-songwriter']
Andrew Innes;['Electronica', 'Hard rock', 'Alternative rock']
Andrew Jenkins;['Country music', 'Folk music', 'Gospel music']
Andrew Johnston (singer);Crossover music
Andrew Kahn;['Disco', 'Jazz', 'Great American Songbook']
Andrew Koji Shiraki;['Folk music', 'Hardcore punk', 'Indie rock', 'Pop punk']
Andrew Latimer;['Symphonic rock', 'Progressive rock', 'Canterbury scene']
Andrew Lauder (music executive);['Pop music', 'Hard rock', 'Pub rock (United Kingdom)', 'Krautrock']
Andrew Liles;Hard rock
Andrew Logan (songwriter);['Pop music', 'Rock music', 'Rhythm and blues']
